Country	Investment (2010-14)	Investment (2015-19)
Afghanistan	..	209.5
Albania	1748.7	..
Algeria	30.3	..
American Samoa	..	..
Andorra	..	..
Angola	..	112
Antigua and Barbuda	..	..
Argentina	2519.5	5347.5
Armenia	107	571.4
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	2546.2	1232.7
Barbados	..	..
Belarus	3125	11.3
Belgium	..	..
Belize	22.2	8.6
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	661.9	60
Botswana	104	..
Brazil	79250.7	46818.6
Brunei Darussalam	..	..
Bulgaria	1611.2	11.6
Burkina Faso	..	45.3
Burundi	..	..
Cabo Verde	80	..
Cambodia	1863.5	112.7
Cameroon	342	1369.4
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	70
Channel Islands	..	..
Chile	..	..
China	11614.5	9799
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	3138.6	2574.3
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	853.6	189
Cote d'Ivoire	680	582.1
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	862.7	573.6
Ecuador	185.7	222.8
Egypt, Arab Rep.	590.7	2841
El Salvador	16	1336.7
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	120	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	368	167
Gambia, The	..	..
Georgia	432.7	496.4
Germany	..	..
Ghana	2140	2285
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2131.7	183.9
Guinea	..	121
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	1273.6	1038.9
Hungary	..	..
Iceland	..	..
India	71680.2	7581.4
Indonesia	8194.2	20809.4
Iran, Islamic Rep.	..	94.5
Iraq	500	500
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	132	663.8
Japan	..	..
Jordan	1643	4372.8
Kazakhstan	42.7	606
Kenya	1864.6	520.2
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	486.2	211.7
Kuwait	..	..
Kyrgyz Republic	40	..
Lao PDR	12229.5	1899
Latvia	..	..
Lebanon	..	180
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	14.2	12
Madagascar	..	..
Malawi	..	67
Malaysia	3708.9	3316.1
Maldives	..	..
Mali	..	240.9
Malta	..	..
Marshall Islands	..	..
Mauritania	..	..
Mauritius	69.5	..
Mexico	10755.8	19402.2
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	120	320.7
Montenegro	..	254.4
Morocco	6282.3	2533.4
Mozambique	298.7	413
Myanmar	170	608
Namibia	..	128.4
Nepal	1276	845.8
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	774	..
Niger	..	..
Nigeria	407.3	950
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2455.4	12828.2
Palau	..	..
Panama	..	..
Papua New Guinea	..	..
Paraguay	..	..
Peru	8552.2	3139
Philippines	4523.7	9391.4
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	4634	114.6
Russian Federation	12905.3	1789.7
Rwanda	230.1	362
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	359	851.1
Serbia	574	818
Seychelles	..	..
Sierra Leone	30	40
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	..	233.4
Somalia	..	..
South Africa	9683.3	10087.1
South Sudan	..	..
Spain	..	..
Sri Lanka	1169.8	..
St. Kitts and Nevis	..	..
St. Lucia	..	20
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	82
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	134.1	8.5
Thailand	9795	6911.6
Timor-Leste	..	..
Togo	..	..
Tonga	6.4	..
Trinidad and Tobago	..	..
Tunisia	..	10
Turkey	42001.6	6951.6
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	64	215.7
Ukraine	2269.2	2102.7
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	..	..
Uzbekistan	..	12
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	5822.3	9533.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	1849	934
Zimbabwe	..	65.7
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	110468.3	81600.8
Middle East & North Africa	..	..
North America	..	..
South Asia	79127.7	22697.5
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	122988.9	62139.4
Upper middle income	217732.4	147385.1
High income	..	..